APPLUS EBENE;APPLUS BEZEICHNUNG;APPLUS ARTIKELNUMMER;APPLUS MENGE;APPLUS MENGENEINHEIT;APPLUS ARTIKELGRUPPE;APPLUS PROFILLÄNGE;APPLUS FLÄCHE;APPLUS STANDARDPROFILLÄNGE;APPLUS STANDARDFLÄCHE;APPLUS EINKAUF;APPLUS LAGER;APPLUS FERTIGUNG;APPLUS AUFTRAG;APPLUS LÄNGE;APPLUS BREITE;APPLUS WAND ID;APPLUS BSU ID;APPLUS KLEINTEILBEZEICHNUNG;APPLUS KLEINTEILSCHLÜSSEL;APPLUS KLEINTEILARTIKELNUMMER
4;Platte- GK-Platte Weather Defence (1200 x 2000);1001960;1;Stück;Platte;;2,4;;3;1;1;0;0;2000;1200;Wand 3 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 750);1001960;1;Stück;Platte;;0,9;;3;1;1;0;0;750;1200;Wand 3 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 2000);1001960;1;Stück;Platte;;2,4;;3;1;1;0;0;2000;1200;Wand 3 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 750);1001960;1;Stück;Platte;;0,9;;3;1;1;0;0;750;1200;Wand 3 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;1,676806;;3,125;1;1;0;0;1250;2400;Wand 1 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 738);10020999;1;Stück;Platte;;1,498313;;3,125;1;1;0;0;738;2400;Wand 1 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 738);10020999;1;Stück;Platte;;0,733469;;3,125;1;1;0;0;738;2400;Wand 1 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- GK-Platte Weather Defence (1200 x 1490);1001960;1;Stück;Platte;;1,788;;3;1;1;0;0;1490;1200;Wand 1 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1375);1001960;1;Stück;Platte;;1,15;;3;1;1;0;0;1375;1200;Wand 1 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1375);1001960;1;Stück;Platte;;0,8319;;3;1;1;0;0;1375;1200;Wand 1 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 250);1001960;1;Stück;Platte;;0,3;;3;1;1;0;0;250;1200;Wand 1 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- Standardplatte OSB 3 (2400 x 369);10020999;1;Stück;Platte;;0,37185;;3,125;1;1;0;0;369;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1082);10020999;1;Stück;Platte;;1,07805;;3,125;1;1;0;0;1082;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 417);10020999;1;Stück;Platte;;0,711394;;3,125;1;1;0;0;417;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1106);10020999;1;Stück;Platte;;0,848119;;3,125;1;1;0;0;1106;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
