APPLUS EBENE,APPLUS BEZEICHNUNG,APPLUS ARTIKELNUMMER,APPLUS MENGE,APPLUS MENGENEINHEIT,APPLUS ARTIKELGRUPPE,APPLUS PROFILLÄNGE,APPLUS FLÄCHE,APPLUS STANDARDPROFILLÄNGE,APPLUS STANDARDFLÄCHE,APPLUS EINKAUF,APPLUS LAGER,APPLUS FERTIGUNG,APPLUS AUFTRAG,APPLUS LÄNGE,APPLUS BREITE,APPLUS WAND ID,APPLUS KLEINTEILMENGE,APPLUS KLEINTEILBEZEICHNUNG,APPLUS KLEINTEILSCHLÜSSEL,APPLUS KLEINTEILARTIKELNUMMER,APPLUS BSU ID,Wand ID
4,Profil- C-Ständerprofil 4710 (Z253) ,22253050002530,3,Stück,Profil,253.0,,5000,,0,0,1,1,,,Wand 2 Profile ,2,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,2
5,,1002266,253.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z253) ,22253050002530,2,Stück,Profil,253.0,,5000,,0,0,1,1,,,Wand 2 Profile ,2,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,2
5,,1002266,253.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- H Ständerprofil 4956 (Z2395) ,24239560002395,2,Stück,Profil,2395,,6000,,0,0,1,1,,,Wand 2 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,24,2
5,,1002269,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- UA-Ständerprofil 5129 (Z2181) ,25218125002181,2,Stück,Profil,2181,,2500,,0,0,1,1,,,Wand 2 Profile ,9,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,25,2
5,,1102371,2181.0,mm,,,,,,1,1,0,0,,,,,,,,,
2,Wand 3,,1,Stück,kalk.pos.,,,,,0,0,1,1,,,,,,,,,3
3,Alle Kleinteil Wand 3,,1,Stück,Kleinteil,,,,,0,0,1,1,,,,,,,,,3
4,"Hilti Magazin S-DD01B 3,5x25",1000023,78,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 3 WD,,,,,,3
4,"Hilti Magazin S-DD01B 3,5x25",1000023,44,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 3 WD,,,,,,3
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,41,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 3 Profile ,,,,,,3
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,20,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 3 Profile ,,,,,,3
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,11,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 3 Profile ,,,,,,3
4,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",1002033,140,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 3 OSB 3 IW,,,,,,3
4,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",1002033,86,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 3 OSB 3 AW,,,,,,3
3,Alle Platte Wand 3,,1,Stück,Platte,,,,,0,0,1,1,,,,,,,,,3
4,Platte- GK-Platte Weather Defence (1200 x 750) 0.900 M2,26075012000900,2,Stück,PlatteM,,0.900,,3,0,0,1,1,0750,1200,Wand 3 WD,17,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,3
5,,1001960,0.9,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 2000) 2.400 M2,26200012002400,2,Stück,PlatteL,,2.400,,3,0,0,1,1,2000,1200,Wand 3 WD,44,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,3
5,,1001960,2.4,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 738) 1.770 M2,27073824001770,2,Stück,PlatteL,,1.770,,"3,125",0,0,1,1,0738,2400,Wand 3 OSB 3 AW,32,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,3
5,,10020999,1.77,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1250) 3.000 M2,27125024003000,2,Stück,PlatteL,,3.000,,"3,125",0,0,1,1,1250,2400,Wand 3 OSB 3 IW,54,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,3
5,,10020999,3.0,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1250) 3.000 M2,27125024003000,1,Stück,PlatteL,,3.000,,"3,125",0,0,1,1,1250,2400,Wand 3 OSB 3 AW,54,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,3
5,,10020999,3.0,M2,,,,,,1,1,0,0,,,,,,,,,
3,Alle Profil Wand 3,,1,Stück,Profil,,,,,0,0,1,1,,,,,,,,,3
4,Profil-4410 (Z2501) ,21250150002501,1,Stück,Profil,2501,,5000,,0,0,1,1,,,Wand 3 Profile ,11,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,3
5,,1000009,2501.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- U-Ringankerprofil 4610 (Z2501) ,23250150002501,1,Stück,Profil,2501,,5000,,0,0,1,1,,,Wand 3 Profile ,11,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,23,3
5,,1000010,2501.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,3,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 3 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,3
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,2,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 3 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,3
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
2,Wand 4,,1,Stück,kalk.pos.,,,,,0,0,1,1,,,,,,,,,4
3,Alle Kleinteil Wand 4,,1,Stück,Kleinteil,,,,,0,0,1,1,,,,,,,,,4
4,"Hilti Magazin S-DD01B 3,5x25",1000023,162,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 4 WD,,,,,,4
4,"Hilti Magazin S-DD01B 3,5x25",1000023,78,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 4 WD,,,,,,4
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,120,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 4 Profile ,,,,,,4
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,57,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 4 Profile ,,,,,,4
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,29,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 4 Profile ,,,,,,4
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,16,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 4 Profile ,,,,,,4
4,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",1002033,206,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 4 OSB 3 IW,,,,,,4
4,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",1002033,154,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 4 OSB 3 IW,,,,,,4
4,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",1002033,108,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 4 OSB 3 AW,,,,,,4
3,Alle Platte Wand 4,,1,Stück,Platte,,,,,0,0,1,1,,,,,,,,,4
4,Platte- GK-Platte Weather Defence (1200 x 1701) 2.041 M2,26170112002041,2,Stück,PlatteL,,2.041,,3,0,0,1,1,1701,1200,Wand 4 WD,37,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,4
5,,1001960,2.041,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 1867) 2.240 M2,26186712002240,2,Stück,PlatteL,,2.240,,3,0,0,1,1,1867,1200,Wand 4 WD,41,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,4
5,,1001960,2.24,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 1907) 2.288 M2,26190712002288,2,Stück,PlatteL,,2.288,,3,0,0,1,1,1907,1200,Wand 4 WD,42,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,4
5,,1001960,2.288,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 514) 1.232 M2,27051424001232,1,Stück,PlatteM,,1.232,,"3,125",0,0,1,1,0514,2400,Wand 4 OSB 3 IW,23,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,4
5,,10020999,1.232,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 558) 1.339 M2,27055824001339,2,Stück,PlatteM,,1.339,,"3,125",0,0,1,1,0558,2400,Wand 4 OSB 3 IW,25,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,4
5,,10020999,1.339,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 625) 1.500 M2,27062524001500,1,Stück,Platte,,1.500,,"3,125",0,0,1,1,0625,2400,Wand 4 OSB 3 AW,27,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,4
5,,10020999,1.5,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 645) 1.548 M2,27064524001548,2,Stück,PlatteL,,1.548,,"3,125",0,0,1,1,0645,2400,Wand 4 OSB 3 IW,28,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,4
5,,10020999,1.548,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1138) 2.731 M2,27113824002731,1,Stück,PlatteL,,2.731,,"3,125",0,0,1,1,1138,2400,Wand 4 OSB 3 IW,50,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,4
5,,10020999,2.731,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1143) 2.743 M2,27114324002743,2,Stück,PlatteL,,2.743,,"3,125",0,0,1,1,1143,2400,Wand 4 OSB 3 IW,50,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,4
5,,10020999,2.743,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1230) 2.951 M2,27123024002951,1,Stück,PlatteL,,2.951,,"3,125",0,0,1,1,1230,2400,Wand 4 OSB 3 IW,54,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,4
5,,10020999,2.951,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1230) 2.952 M2,27123024002952,1,Stück,PlatteL,,2.952,,"3,125",0,0,1,1,1230,2400,Wand 4 OSB 3 AW,54,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,4
5,,10020999,2.952,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1250) 3.000 M2,27125024003000,1,Stück,PlatteL,,3.000,,"3,125",0,0,1,1,1250,2400,Wand 4 OSB 3 AW,54,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,4
5,,10020999,3.0,M2,,,,,,1,1,0,0,,,,,,,,,
3,Alle Profil Wand 4,,1,Stück,Profil,,,,,0,0,1,1,,,,,,,,,4
4,Profil-4410 (Z1701) ,21170150001701,1,Stück,Profil,1701,,5000,,0,0,1,1,,,Wand 4 Profile ,7,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,4
5,,1000009,1701.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil-4410 (Z1875) ,21187550001875,2,Stück,Profil,1875,,5000,,0,0,1,1,,,Wand 4 Profile ,8,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,4
5,,1000009,1875.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- U-Ringankerprofil 4610 (Z1701) ,23170150001701,1,Stück,Profil,1701,,5000,,0,0,1,1,,,Wand 4 Profile ,7,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,23,4
5,,1000010,1701.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- U-Ringankerprofil 4610 (Z1875) ,23187550001875,2,Stück,Profil,1875,,5000,,0,0,1,1,,,Wand 4 Profile ,8,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,23,4
5,,1000010,1875.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,8,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 4 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,4
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,4,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 4 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,4
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,2,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 4 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,4
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- UA-Ständerprofil 5129 (Z2181) ,25218125002181,3,Stück,Profil,2181,,2500,,0,0,1,1,,,Wand 4 Profile ,9,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,25,4
5,,1102371,2181.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- UA-Ständerprofil 5129 (Z2181) ,25218125002181,1,Stück,Profil,2181,,2500,,0,0,1,1,,,Wand 4 Profile ,9,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,25,4
5,,1102371,2181.0,mm,,,,,,1,1,0,0,,,,,,,,,
