APPLUS EBENE,APPLUS BEZEICHNUNG,APPLUS ARTIKELNUMMER,APPLUS MENGE,APPLUS MENGENEINHEIT,APPLUS ARTIKELGRUPPE,APPLUS PROFILLÄNGE,APPLUS FLÄCHE,APPLUS STANDARDPROFILLÄNGE,APPLUS STANDARDFLÄCHE,APPLUS EINKAUF,APPLUS LAGER,APPLUS FERTIGUNG,APPLUS AUFTRAG,APPLUS LÄNGE,APPLUS BREITE,APPLUS WAND ID,APPLUS KLEINTEILMENGE,APPLUS KLEINTEILBEZEICHNUNG,APPLUS KLEINTEILSCHLÜSSEL,APPLUS KLEINTEILARTIKELNUMMER,APPLUS BSU ID,Wand ID
4,Profil-4410 (Z1025) ,21102550001025,2,Stück,Profil,1025,,5000,,0,0,1,1,,,Wand 1 Profile ,5,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,1
5,,1000009,1025.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil-4410 (Z1035) ,21103550001035,1,Stück,Profil,1035,,5000,,0,0,1,1,,,Wand 1 Profile ,5,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,1
5,,1000009,1035.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil-4410 (Z2501) ,21250150002501,1,Stück,Profil,2501,,5000,,0,0,1,1,,,Wand 1 Profile ,11,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,1
5,,1000009,2501.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- U-Ringankerprofil 4610 (Z2501) ,23250150002501,1,Stück,Profil,2501,,5000,,0,0,1,1,,,Wand 1 Profile ,11,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,23,1
5,,1000010,2501.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z1382) ,22138250001382,2,Stück,Profil,1382,,5000,,0,0,1,1,,,Wand 1 Profile ,6,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,1
5,,1002266,1382.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z1382) ,22138250001382,1,Stück,Profil,1382,,5000,,0,0,1,1,,,Wand 1 Profile ,6,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,1
5,,1002266,1382.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,4,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 1 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,1
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,2,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 1 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,1
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,1,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 1 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,1
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z253) ,22253050002530,4,Stück,Profil,253.0,,5000,,0,0,1,1,,,Wand 1 Profile ,2,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,1
5,,1002266,253.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z253) ,22253050002530,2,Stück,Profil,253.0,,5000,,0,0,1,1,,,Wand 1 Profile ,2,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,1
5,,1002266,253.0,mm,,,,,,1,1,0,0,,,,,,,,,
2,Wand 2,,1,Stück,kalk.pos.,,,,,0,0,1,1,,,,,,,,,2
3,Alle Kleinteil Wand 2,,1,Stück,Kleinteil,,,,,0,0,1,1,,,,,,,,,2
4,"Hilti Magazin S-DD01B 3,5x25",1000023,109,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 WD,,,,,,2
4,"Hilti Magazin S-DD01B 3,5x25",1000023,55,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 WD,,,,,,2
4,"Hilti Magazin S-DD01B 3,5x25",1000023,37,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 WD,,,,,,2
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,148,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 Profile ,,,,,,2
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,76,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 Profile ,,,,,,2
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,47,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 Profile ,,,,,,2
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,13,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 Profile ,,,,,,2
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,19,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 Profile ,,,,,,2
4,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",1002033,169,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 OSB 3 IW,,,,,,2
4,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",1002033,105,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 OSB 3 AW,,,,,,2
4,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",1002033,73,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 2 OSB 3 IW,,,,,,2
3,Alle Platte Wand 2,,1,Stück,Platte,,,,,0,0,1,1,,,,,,,,,2
4,Platte- GK-Platte Weather Defence (525 x 112) 0.059 M2,26011205250059,3,Stück,PlatteS,,0.059,,3,0,0,1,1,0112,0525,Wand 2 Laibung,2,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,2
